kernel,db_name,framework,n,median_s,q1_s,q3_s,iqr_s,min_s,max_s,ci95_median_lo_s,ci95_median_hi_s,ci95_block_lo_s,ci95_block_hi_s,block_len,lag1_autocorr,drift_spearman,iqr_over_median,max_over_min,ci95_width_over_median,largest_gap_frac,range_over_median,n_outliers_3iqr,flags
k2mm,2mm,dace_cpu_autoopt,50,0.08896981505677104,0.08876801189035177,0.08915449801133946,0.00038648612098768353,0.08842541393823922,0.09060032898560166,0.08883551391772926,0.08904526801779866,0.08882053253764752,0.08905667602084577,6,-0.14351144553735584,-0.2161344537815126,0.00434401398655341,1.024596040329328,0.0023575872326536923,0.25297218587483883,0.024445538590528126,2,possible-multimodal;outliers=2
k3mm,3mm,dace_cpu_autoopt,50,0.1612046544905752,0.15928053110837936,0.1626120627624914,0.003331531654112041,0.15654579107649624,0.23761889804154634,0.16037822898942977,0.16206343099474907,0.15985016396734864,0.16210387740284204,6,-0.05383580341307307,-0.16638655462184873,0.020666473090619218,1.517887490986159,0.010453804889472484,0.8668655843526665,0.5029203854023335,1,possible-multimodal;outliers=1
arc_distance,adist,dace_cpu_autoopt,50,0.00927324895747006,0.009208594681695104,0.009404692973475903,0.00019609829178079963,0.008444504113867879,0.014825735939666629,0.009241505991667509,0.009328127023763955,0.009249952854588628,0.009329118998721242,6,-0.02026395981018923,0.3233133253301321,0.021146665282056595,1.7556668502676496,0.009340958330108031,0.7892778615473857,0.6881333451808552,2,possible-multimodal;outliers=2
azimint_hist,azimhist,dace_cpu_autoopt,50,0.0037918640300631523,0.003763376851566136,0.0038272221572697163,6.384530570358038e-05,0.003683066926896572,0.0038802779745310545,0.0037819285644218326,0.0038085998967289925,0.00378332007676363,0.0038020070642232895,6,-0.30624566716068596,-0.24120048019207682,0.0168374459625645,1.053545333698472,0.0070338314073766246,0.0944268991694362,0.052008997704276305,0,autocorrelated(r1=-0.31)
azimint_naive,azimnaiv,dace_cpu_autoopt,50,0.01022667856886983,0.009849456953816116,0.010556046210695058,0.0007065892568789423,0.009535450022667646,0.012406123103573918,0.01002151588909328,0.01039024197962135,0.010047643445432186,0.010438128956593573,6,0.0007848769362091414,-0.1904921968787515,0.06909274131581793,1.3010527111024772,0.03605531239150109,0.3556308729823811,0.28070434223332746,1,possible-multimodal;outliers=1
cavity_flow,cavtflow,dace_cpu_autoopt,50,0.9355623115552589,0.9308959195041098,0.9422966448473744,0.01140072534326464,0.9243492549285293,0.9993265368975699,0.9331406770506874,0.9383538439869881,0.93214609939605,0.9405192490667105,6,0.5483798931280031,-0.17426170468187274,0.012185960467253449,1.0811135851186875,0.005572228457594061,0.25070139435831457,0.08014140912153675,4,possible-multimodal;outliers=4;autocorrelated(r1=+0.55)
channel_flow,chanflow,dace_cpu_autoopt,50,2.4001506854547188,2.3804428388248198,2.421410307113547,0.040967468288727105,2.3474553539417684,2.51838911883533,2.389231684850529,2.412800000049174,2.385865187039599,2.4161147970007733,6,0.5084418456258482,-0.5555342136854742,0.017068706784534923,1.0728166201783285,0.00981951480857956,0.33712006537911554,0.07121793057804514,0,possible-multimodal;autocorrelated(r1=+0.51);drift(rho=-0.56)
cholesky2,cholesky2,dace_cpu_autoopt,50,0.013186469441279769,0.01311123208142817,0.0133001470239833,0.00018891494255512953,0.013032985152676702,0.015003266977146268,0.013144150492735207,0.013225716422311962,0.013139734975993633,0.013236564467661083,6,0.2615101929217513,0.03490996398559424,0.014326423262601138,1.1511765571270456,0.006185577567973984,0.641352417830811,0.14941693326203523,2,possible-multimodal;outliers=2
compute,clipping,dace_cpu_autoopt,50,0.09018314350396395,0.05296877579530701,0.09373406105441973,0.040765285259112716,0.05070321401581168,0.11724477610550821,0.056546523002907634,0.0909941588761285,0.07571098441258073,0.0909941588761285,6,-0.7090356960711531,-0.2225690276110444,0.4520277701045196,2.3123736508882,0.3819742197354956,0.3431978044116858,0.7378492199794714,0,wide-IQR;wide-range;wide-CI;possible-multimodal;autocorrelated(r1=-0.71)
contour_integral,coninteg,dace_cpu_autoopt,50,0.2137706319335848,0.21275243698619306,0.21530485444236547,0.0025524174561724067,0.21093442291021347,0.2698009149171412,0.21335185994394124,0.21452229155693203,0.21335185994394124,0.21430930553469807,6,-0.05688336788333031,0.04547418967587035,0.01193998180706788,1.2790748479776812,0.00547517496862914,0.6545270768827287,0.2753722130793749,3,possible-multimodal;outliers=3
conv2d_bias,conv2d,dace_cpu_autoopt,50,0.19926197559107095,0.19906075776088983,0.19941509095951915,0.00035433319862931967,0.19880938110873103,0.22371071996167302,0.1991516430862248,0.19935704511590302,0.19912778795696795,0.1993251455714926,6,0.08137532743723856,-0.020696278511404563,0.001778227871013829,1.1252523332353375,0.0010308139777744415,0.5906095698384998,0.12496784084909893,4,possible-multimodal;outliers=4
covariance,covarian,dace_cpu_autoopt,50,0.037222774466499686,0.037146368878893554,0.037312284286599606,0.00016591540770605206,0.03697015903890133,0.0387298169080168,0.03719248785637319,0.03726613335311413,0.03720159153454006,0.037260390003211796,6,-0.023356888153966363,-0.18453781512605041,0.0044573627324684005,1.0475967081251638,0.0019785063794000046,0.42725188030760264,0.04727368914155379,3,possible-multimodal;outliers=3
covariance2,covarian2,dace_cpu_autoopt,50,0.040365321561694145,0.039686509291641414,0.041682177456095815,0.0019956681644544005,0.03772492008283734,0.04241537186317146,0.03998430853243917,0.04117972799576819,0.04009916842915118,0.04078430053777993,6,-0.6472813577956813,-0.04883553421368547,0.04944016515275945,1.1243329812239418,0.029615011526712212,0.1017728817343686,0.11620003505150463,0,autocorrelated(r1=-0.65)
crc16,crc16,dace_cpu_autoopt,50,0.012370829936116934,0.012354742269963026,0.012387869297526777,3.3127027563750744e-05,0.012334271101281047,0.012600759044289589,0.012363598449155688,0.012376749538816512,0.012362766079604626,0.01237452554050833,6,0.14137026190045837,-0.42559423769507804,0.002677833882998876,1.0216054877357823,0.0010630725447472544,0.38112038107320123,0.02154163822352162,3,possible-multimodal;outliers=3;drift(rho=-0.43)
doitgen,doitgen,dace_cpu_autoopt,50,0.005129004130139947,0.005020326876547188,0.005206914036534727,0.00018658715998753905,0.004725782899186015,0.00539552397094667,0.005058093927800655,0.005177481798455119,0.005103356554172933,0.005169994430616498,6,-0.5480805712079702,-0.044513805522208884,0.036378828180520094,1.1417206600574084,0.023277008094592083,0.37549000248912223,0.1305791640574055,0,possible-multimodal;autocorrelated(r1=-0.55)
gesummv,gesummv,dace_cpu_autoopt,50,0.01926532806828618,0.018461327941622585,0.02009583846665919,0.0016345105250366032,0.018033770844340324,0.021748181898146868,0.01854754495434463,0.019994778442196548,0.019201826071366668,0.019299503066577017,6,-0.880832572052911,-0.09963985594237695,0.08484208102987198,1.2059697378805423,0.07512114419864441,0.3367022969705153,0.19280289651132698,0,wide-CI;possible-multimodal;autocorrelated(r1=-0.88)
hdiff,hdiff,dace_cpu_autoopt,50,0.004447152954526246,0.004352491640020162,0.004541902046184987,0.00018941040616482496,0.00420618406496942,0.006595971994102001,0.004396514501422644,0.004500255105085671,0.004396609961986542,0.004488175036385655,6,-0.1671955606768639,-0.01935174069627851,0.04259138556771381,1.5681605683963227,0.023327419750076656,0.7882519404356618,0.5373747999155933,1,possible-multimodal;outliers=1
jacobi_1d,jacobi1d,dace_cpu_autoopt,50,0.0817788679851219,0.0816487037227489,0.08190692029893398,0.00025821657618507743,0.08134308806620538,0.08592686080373824,0.08167603914625943,0.08183392195496708,0.08169715863186866,0.08182630594819784,6,0.08673685171176018,-0.20797118847539015,0.003157497560764169,1.0563511030439625,0.001930606434126457,0.3547438090848479,0.0560508215688041,5,possible-multimodal;outliers=5
lenet,lenet,dace_cpu_autoopt,50,0.004970689537003636,0.004934066906571388,0.005046343780122697,0.00011227687355130911,0.004799127113074064,0.005618303082883358,0.004946770146489143,0.0050177439115941525,0.004945410648360848,0.005002576974220574,6,-0.046370417401985026,0.14477791116446578,0.022587786405785126,1.1706927010909227,0.014278454644301225,0.3790626472643018,0.16480127429223798,2,possible-multimodal;outliers=2
