kernel,db_name,framework,n,median_s,q1_s,q3_s,iqr_s,min_s,max_s,ci95_median_lo_s,ci95_median_hi_s,ci95_block_lo_s,ci95_block_hi_s,block_len,lag1_autocorr,drift_spearman,iqr_over_median,max_over_min,ci95_width_over_median,largest_gap_frac,range_over_median,n_outliers_3iqr,flags
k2mm,2mm,dace_cpu_autoopt,50,0.11749551142565906,0.11584116582525894,0.14763585274340585,0.03179468691814691,0.11060754209756851,0.18994345003739,0.11667013098485768,0.1323712570592761,0.11666643503122032,0.1415950241498649,6,0.44161738879461065,-0.3201440576230492,0.2706034173761933,1.7172739438494902,0.13363170970452545,0.218998540052502,0.6752250105317287,0,wide-IQR;wide-CI;autocorrelated(r1=+0.44)
k2mm,2mm,numpy,50,0.16777776449453086,0.15813961951062083,0.18052160233492032,0.022381982824299484,0.1543411088641733,0.290441621793434,0.1618278119713068,0.17086000100243837,0.1618031410034746,0.17068687046412379,6,0.13107324139962231,-0.306218487394958,0.13340255719660088,1.881816347769245,0.05383424352054705,0.3918735110228523,0.8111951743980786,2,wide-IQR;wide-CI;possible-multimodal;outliers=2
k2mm,2mm,pluto,50,1.8913736790418625,1.88760238426039,1.8933640869217925,0.0057617026614025235,1.8785541881807148,1.9001995059661567,1.8892619068501517,1.892598567996174,1.8886373188579455,1.8926460865186527,6,0.23014809905212413,0.38304921968787514,0.0030463058280060782,1.0115223281402408,0.0017641469705302628,0.21860094943166922,0.01144423126180281,0,drift(rho=+0.38)
k3mm,3mm,dace_cpu_autoopt,50,0.17149541212711483,0.16984797577606514,0.19701327895745635,0.02716530318139121,0.16548104514367878,0.243174706120044,0.17013292689807713,0.1846901869866997,0.1700354270869866,0.1846901869866997,6,-0.15246537820124298,-0.06833133253301321,0.15840250677525938,1.4695018750268816,0.08488425380051871,0.1992421850019281,0.45303638163088333,0,wide-IQR;wide-CI
k3mm,3mm,numpy,50,0.17765882308594882,0.17734551266767085,0.1782545146998018,0.0009090020321309566,0.17663479200564325,0.18584860698319972,0.17747447593137622,0.17801839509047568,0.17743134149350226,0.1780382350552827,6,0.08252982360458404,-0.09099639855942376,0.005116560024104147,1.052163081083494,0.0030615938440407167,0.5259167897007846,0.05186241143283356,2,possible-multimodal;outliers=2
k3mm,3mm,pluto,50,2.7595065420027822,2.752512132457923,2.7668803652049974,0.014368232747074217,2.7412851548288018,2.808684566989541,2.757191937882453,2.764007806079462,2.7562977271154523,2.7651289115892723,6,0.4435999023137243,0.29786314525810326,0.005206812351546775,1.0245867935490092,0.0024699590645152728,0.21554247503433513,0.024424443694858015,1,outliers=1;autocorrelated(r1=+0.44)
arc_distance,adist,dace_cpu_autoopt,50,0.03756566997617483,0.02986718970350921,0.042095100216101855,0.012227910512592643,0.022094327956438065,0.04866067203693092,0.03331438312307,0.040431402157992125,0.03165349247865379,0.040431402157992125,6,0.11665012658765563,-0.14324129651860745,0.3255075849931045,2.202405618893318,0.18945540008832346,0.1416158403907802,0.707197398511512,0,wide-IQR;wide-range;wide-CI
arc_distance,adist,numpy,50,0.46310727682430297,0.4613544386229478,0.4643810447305441,0.003026606107596308,0.45925599290058017,0.4675867010373622,0.46264602860901505,0.4636449399404228,0.4616942189168185,0.464091390138492,6,0.4689209041158568,-0.5714765906362546,0.006535431981010663,1.0181395741494124,0.002156976107690703,0.11364998534521363,0.017988722168022886,0,autocorrelated(r1=+0.47);drift(rho=-0.57)
arc_distance,adist,pluto,50,0.007820772007107735,0.007660233124624938,0.008104763342998922,0.0004445302183739841,0.0075230218935757875,0.009397490182891488,0.007729607867076993,0.007918016985058784,0.007797091966494918,0.007885714061558247,6,-0.27955363939648337,-0.22900360144057624,0.05683968513210495,1.2491642741218638,0.02409085929247906,0.14257649569358496,0.23967816573761921,2,outliers=2
azimint_hist,azimhist,dace_cpu_autoopt,50,0.003838740405626595,0.0038143728743307292,0.003867100109346211,5.272723501548171e-05,0.003750567091628909,0.003985407995060086,0.0038273970130831003,0.003853603033348918,0.0038258129497990012,0.003847236977890134,6,-0.3369785859600877,-0.21018007202881153,0.01373555631378389,1.0626147720314965,0.006826723741831157,0.32075757906237545,0.06117655236258265,0,possible-multimodal;autocorrelated(r1=-0.34)
azimint_hist,azimhist,numpy,50,0.014824785990640521,0.014692333992570639,0.015167119505349547,0.000474785512778908,0.014015932800248265,0.01591846300289035,0.014755300944671035,0.0149454390630126,0.01468979800119996,0.014991779407137067,6,0.8237561316635633,-0.7561584633853542,0.032026466559359375,1.1357405339877473,0.01282569060097103,0.2110972482363588,0.12833441264131748,0,autocorrelated(r1=+0.82);drift(rho=-0.76)
