kernel,db_name,framework,n,median_s,q1_s,q3_s,iqr_s,min_s,max_s,ci95_median_lo_s,ci95_median_hi_s,ci95_block_lo_s,ci95_block_hi_s,block_len,lag1_autocorr,drift_spearman,iqr_over_median,max_over_min,ci95_width_over_median,largest_gap_frac,range_over_median,n_outliers_3iqr,flags
k2mm,2mm,dace_cpu_autoopt,50,0.08896981505677104,0.08876801189035177,0.08915449801133946,0.00038648612098768353,0.08842541393823922,0.09060032898560166,0.08883551391772926,0.08904526801779866,0.08882053253764752,0.08905667602084577,6,-0.14351144553735584,-0.2161344537815126,0.00434401398655341,1.024596040329328,0.0023575872326536923,0.25297218587483883,0.024445538590528126,2,possible-multimodal;outliers=2
k2mm,2mm,numpy,50,0.16777776449453086,0.15813961951062083,0.18052160233492032,0.022381982824299484,0.1543411088641733,0.290441621793434,0.1618278119713068,0.17086000100243837,0.1618031410034746,0.17068687046412379,6,0.13107324139962231,-0.306218487394958,0.13340255719660088,1.881816347769245,0.05383424352054705,0.3918735110228523,0.8111951743980786,2,wide-IQR;wide-CI;possible-multimodal;outliers=2
k2mm,2mm,pluto,50,1.8913736790418625,1.88760238426039,1.8933640869217925,0.0057617026614025235,1.8785541881807148,1.9001995059661567,1.8892619068501517,1.892598567996174,1.8886373188579455,1.8926460865186527,6,0.23014809905212413,0.38304921968787514,0.0030463058280060782,1.0115223281402408,0.0017641469705302628,0.21860094943166922,0.01144423126180281,0,drift(rho=+0.38)
k3mm,3mm,dace_cpu_autoopt,50,0.1612046544905752,0.15928053110837936,0.1626120627624914,0.003331531654112041,0.15654579107649624,0.23761889804154634,0.16037822898942977,0.16206343099474907,0.15985016396734864,0.16210387740284204,6,-0.05383580341307307,-0.16638655462184873,0.020666473090619218,1.517887490986159,0.010453804889472484,0.8668655843526665,0.5029203854023335,1,possible-multimodal;outliers=1
k3mm,3mm,numpy,50,0.17765882308594882,0.17734551266767085,0.1782545146998018,0.0009090020321309566,0.17663479200564325,0.18584860698319972,0.17747447593137622,0.17801839509047568,0.17743134149350226,0.1780382350552827,6,0.08252982360458404,-0.09099639855942376,0.005116560024104147,1.052163081083494,0.0030615938440407167,0.5259167897007846,0.05186241143283356,2,possible-multimodal;outliers=2
k3mm,3mm,pluto,50,2.7595065420027822,2.752512132457923,2.7668803652049974,0.014368232747074217,2.7412851548288018,2.808684566989541,2.757191937882453,2.764007806079462,2.7562977271154523,2.7651289115892723,6,0.4435999023137243,0.29786314525810326,0.005206812351546775,1.0245867935490092,0.0024699590645152728,0.21554247503433513,0.024424443694858015,1,outliers=1;autocorrelated(r1=+0.44)
arc_distance,adist,dace_cpu_autoopt,50,0.00927324895747006,0.009208594681695104,0.009404692973475903,0.00019609829178079963,0.008444504113867879,0.014825735939666629,0.009241505991667509,0.009328127023763955,0.009249952854588628,0.009329118998721242,6,-0.02026395981018923,0.3233133253301321,0.021146665282056595,1.7556668502676496,0.009340958330108031,0.7892778615473857,0.6881333451808552,2,possible-multimodal;outliers=2
arc_distance,adist,numpy,50,0.46310727682430297,0.4613544386229478,0.4643810447305441,0.003026606107596308,0.45925599290058017,0.4675867010373622,0.46264602860901505,0.4636449399404228,0.4616942189168185,0.464091390138492,6,0.4689209041158568,-0.5714765906362546,0.006535431981010663,1.0181395741494124,0.002156976107690703,0.11364998534521363,0.017988722168022886,0,autocorrelated(r1=+0.47);drift(rho=-0.57)
arc_distance,adist,pluto,50,0.007820772007107735,0.007660233124624938,0.008104763342998922,0.0004445302183739841,0.0075230218935757875,0.009397490182891488,0.007729607867076993,0.007918016985058784,0.007797091966494918,0.007885714061558247,6,-0.27955363939648337,-0.22900360144057624,0.05683968513210495,1.2491642741218638,0.02409085929247906,0.14257649569358496,0.23967816573761921,2,outliers=2
azimint_hist,azimhist,dace_cpu_autoopt,50,0.0037918640300631523,0.003763376851566136,0.0038272221572697163,6.384530570358038e-05,0.003683066926896572,0.0038802779745310545,0.0037819285644218326,0.0038085998967289925,0.00378332007676363,0.0038020070642232895,6,-0.30624566716068596,-0.24120048019207682,0.0168374459625645,1.053545333698472,0.0070338314073766246,0.0944268991694362,0.052008997704276305,0,autocorrelated(r1=-0.31)
